phase,burst_words,test_words,outcome,summary,fail_addr,fail_actual,retry_summary
legacy_burst,1,8,PASS,0x030D00A8,0x00000000,0x00000000,0x03000000
legacy_burst,2,16,PASS,0x030D00A8,0x00000000,0x00000000,0x03000000
legacy_burst,4,32,PASS,0x030D00A8,0x00000000,0x00000000,0x03000000
legacy_burst,8,64,PASS,0x030D00A8,0x00000000,0x00000000,0x03000000
legacy_burst,16,128,PASS,0x030D00A8,0x00000000,0x00000000,0x03000000
legacy_burst,24,192,PASS,0x030D00A8,0x00000000,0x00000000,0x03000000
legacy_burst,26,208,PASS,0x030D00A8,0x00000000,0x00000000,0x03000000
legacy_burst,28,224,PASS,0x030D00A8,0x00000000,0x00000000,0x03000000
legacy_burst,30,240,PASS,0x030D00A8,0x00000000,0x00000000,0x03000000
legacy_burst,31,248,PASS,0x030D00A8,0x00000000,0x00000000,0x03000000
