bank,row,phase,burst_words,test_words,outcome,summary,state,fail_reason,mem_summary,last_read,last_status,fail_addr,fail_expected,fail_actual,retry_summary,retry_data1,retry_data2,ctrl_summary,handshake,latest_rd
0,0,bank0_row0,26,208,FAIL,51250072,14,3,72205,4294967295,12586155,5,0,4294967295,50529379,4294967295,4294967295,3797352730,1200816184,4294967295
0,1,bank0_row1,26,208,FAIL,51250072,14,3,72205,4294967295,12586155,261,0,4294967295,50529379,4294967295,4294967295,3797352730,1200816184,4294967295
0,2,bank0_row2,26,208,FAIL,51250072,14,3,72205,4294967295,12586155,517,0,4294967295,50529379,4294967295,4294967295,3797352730,1200816184,4294967295
0,32,bank0_row32,26,208,FAIL,51250072,14,3,72205,4294967295,12586155,8197,0,4294967295,50529379,4294967295,4294967295,3797352730,1200816184,4294967295
0,1024,bank0_row1024,26,208,FAIL,51250072,14,3,1579533,4294967295,12586155,262172,23,4294967295,50529379,4294967295,4294967295,3797358618,1200816184,4294967295
1,0,bank1_row0,26,208,FAIL,51250072,14,3,1579533,4294967295,12586155,524316,23,4294967295,50529379,4294967295,4294967295,3797358618,1200816184,4294967295
1,1,bank1_row1,26,208,FAIL,51250072,14,3,1579533,4294967295,12586155,524572,23,4294967295,50529379,4294967295,4294967295,3797358618,1200816184,4294967295
1,2,bank1_row2,26,208,FAIL,51250072,14,3,1579533,4294967295,12586155,524828,23,4294967295,50529379,4294967295,4294967295,3797358618,1200816184,4294967295
1,32,bank1_row32,26,208,FAIL,51250072,14,3,1579533,4294967295,12586155,532508,23,4294967295,50529379,4294967295,4294967295,3797358618,1200816184,4294967295
1,1024,bank1_row1024,26,208,FAIL,51250072,14,3,1579533,4294967295,12586155,786460,23,4294967295,50529379,4294967295,4294967295,3797358618,1200816184,4294967295
2,0,bank2_row0,26,208,FAIL,51250072,14,3,1579533,4294967295,12586155,1048604,23,4294967295,50529379,4294967295,4294967295,3797358618,1200816184,4294967295
2,1,bank2_row1,26,208,FAIL,51250072,14,3,1579533,4294967295,12586155,1048860,23,4294967295,50529379,4294967295,4294967295,3797358618,1200816184,4294967295
2,2,bank2_row2,26,208,FAIL,51250072,14,3,1579533,4294967295,12586155,1049116,23,4294967295,50529379,4294967295,4294967295,3797358618,1200816184,4294967295
2,32,bank2_row32,26,208,FAIL,51250072,14,3,1579533,4294967295,12586155,1056796,23,4294967295,50529379,4294967295,4294967295,3797358618,1200816184,4294967295
2,1024,bank2_row1024,26,208,FAIL,51250072,14,3,1579533,4294967295,12586155,1310748,23,4294967295,50529379,4294967295,4294967295,3797358618,1200816184,4294967295
3,0,bank3_row0,26,208,FAIL,51250072,14,3,1579533,25,12586155,1572892,23,25,50529379,25,25,3797358618,1200816184,4294967295
3,1,bank3_row1,26,208,FAIL,51250072,14,3,1579533,25,12586155,1573148,23,25,50529379,25,25,3797358618,1200816184,4294967295
3,2,bank3_row2,26,208,FAIL,51250072,14,3,1579533,25,12586155,1573404,23,25,50529379,25,25,3797358618,1200816184,4294967295
3,32,bank3_row32,26,208,FAIL,51250072,14,3,1579533,25,12586155,1581084,23,25,50529379,25,25,3797358618,1200816184,4294967295
3,1024,bank3_row1024,26,208,FAIL,51250072,14,3,1579533,25,12586155,1835036,23,25,50529379,25,25,3797358618,1200816184,4294967295
